subject,lineup_id,order,a,b,n,x_dist,rep
78,30,9,-1,1,300,even_discrete,2
79,526,8,0,0,300,lognormal,2
80,170,1,0,0,300,normal,2
81,473,11,-1,4,100,even_discrete,3
82,237,17,0,0,100,lognormal,2
83,195,19,-1,16,50,lognormal,1
84,134,17,-1,64,300,lognormal,2
85,179,19,-1,0.25,300,uniform,1
86,553,17,0,16,300,uniform,2
87,182,10,0,1,300,lognormal,3
88,292,16,0,1,100,even_discrete,2
89,209,2,0,0,300,normal,1
90,36,7,1,16,100,lognormal,1
91,27,5,1,1,300,even_discrete,1
92,295,14,0,0,50,even_discrete,2
93,392,7,0,16,50,lognormal,3
94,478,14,0,0,100,even_discrete,2
95,357,16,1,1,50,even_discrete,3
96,172,9,0,0,100,uniform,3
97,95,19,0,16,100,normal,2
98,8,16,1,4,100,even_discrete,2
99,257,15,1,16,50,uniform,3
100,258,2,1,0.25,300,even_discrete,1
101,157,20,1,0.25,100,normal,2
102,511,6,0,4,300,lognormal,2
103,34,13,-1,16,100,normal,2
104,319,13,-1,4,100,normal,2
105,84,14,-1,0.25,50,uniform,3
106,521,12,-1,4,100,lognormal,3
107,352,2,1,64,300,even_discrete,1
108,542,18,-1,4,300,lognormal,3
109,349,2,-1,4,100,even_discrete,1
110,526,14,0,0,300,lognormal,2
111,76,12,0,1,100,uniform,1
112,553,9,0,16,300,uniform,2
113,573,15,0,1,50,uniform,2
114,376,18,-1,4,300,even_discrete,2
115,262,17,0,0,300,lognormal,3
116,133,7,0,4,100,even_discrete,3
117,65,7,0,64,100,normal,2
118,360,15,1,1,50,uniform,3
119,375,7,-1,1,300,uniform,1
120,347,12,1,4,100,uniform,3
121,136,8,0,0.25,100,even_discrete,2
122,11,18,0,0,100,normal,2
123,87,14,-1,0.25,300,lognormal,3
124,556,8,0,16,50,normal,3
125,274,6,-1,64,100,even_discrete,3
126,24,3,-1,16,50,normal,2
127,113,19,0,0.25,50,lognormal,3
128,494,15,-1,0.25,100,uniform,1
129,179,8,-1,0.25,300,uniform,1
130,242,9,-1,4,50,lognormal,1
131,146,16,-1,64,100,lognormal,2
132,473,14,-1,4,100,even_discrete,3
133,535,16,0,0.25,50,normal,2
134,447,4,-1,1,50,uniform,1
135,62,4,-1,4,300,uniform,2
136,60,3,1,16,100,uniform,2
137,514,10,0,0.25,100,lognormal,1
138,261,1,1,0.25,100,even_discrete,3
139,441,13,0,0.25,50,lognormal,2
140,439,8,0,64,50,normal,2
141,310,3,-1,16,300,even_discrete,3
142,101,8,1,16,300,uniform,1
143,46,18,1,4,300,even_discrete,3
144,200,11,0,0,50,uniform,2
145,402,14,0,1,300,uniform,1
146,447,20,-1,1,50,uniform,1
147,168,14,-1,64,300,normal,1
148,122,3,1,64,50,even_discrete,1
149,262,14,0,0,300,lognormal,3
150,455,20,0,0,50,normal,1
151,228,18,1,64,300,even_discrete,2
152,340,1,-1,16,100,lognormal,1
153,312,4,0,4,100,normal,1
154,404,10,1,4,50,normal,3
155,477,10,0,4,100,lognormal,2
156,166,14,-1,0.25,50,lognormal,3
157,75,18,-1,64,300,even_discrete,1
158,354,19,-1,16,50,even_discrete,3
159,293,15,1,1,100,normal,1
160,192,20,1,1,100,lognormal,1
1,84,14,-1,0.25,50,uniform,3
2,84,18,-1,0.25,50,uniform,3
3,205,20,0,4,300,even_discrete,3
4,121,9,0,64,50,uniform,1
5,202,6,0,16,50,even_discrete,3
6,396,13,0,1,50,normal,1
7,417,11,1,4,100,lognormal,1
8,136,3,0,0.25,100,even_discrete,2
9,552,9,1,0.25,100,uniform,1
10,573,9,0,1,50,uniform,2
11,198,13,1,0.25,50,even_discrete,1
12,51,7,-1,16,50,uniform,3
13,152,3,0,0,100,even_discrete,1
14,260,13,1,64,50,normal,2
15,441,14,0,0.25,50,lognormal,2
16,284,19,1,4,300,normal,1
17,371,15,0,1,50,lognormal,1
18,96,2,1,1,300,lognormal,2
19,519,2,-1,16,300,even_discrete,2
20,163,17,0,1,50,lognormal,3
21,375,8,-1,1,300,uniform,1
22,305,14,0,64,300,uniform,3
23,438,13,1,4,100,even_discrete,1
24,9,5,-1,1,300,normal,1
25,269,7,1,0.25,50,normal,1
26,27,9,1,1,300,even_discrete,1
27,44,2,1,16,300,even_discrete,1
28,258,3,1,0.25,300,even_discrete,1
29,2,4,1,1,300,normal,1
30,231,14,0,4,50,even_discrete,2
31,316,1,-1,0.25,100,even_discrete,3
32,264,12,0,0,100,lognormal,1
33,320,16,-1,0.25,100,lognormal,3
34,342,19,-1,4,50,lognormal,2
35,570,14,-1,16,50,normal,1
36,106,16,0,0,50,lognormal,1
37,159,12,0,4,50,even_discrete,1
38,156,20,0,16,300,lognormal,2
39,74,18,-1,1,300,uniform,2
40,232,9,1,0.25,50,uniform,2
41,426,11,-1,16,100,lognormal,3
42,490,1,0,16,300,lognormal,1
43,254,20,-1,1,100,lognormal,1
44,388,10,1,64,50,lognormal,3
45,352,17,1,64,300,even_discrete,1
46,226,10,-1,4,100,uniform,3
47,472,5,-1,0.25,50,lognormal,2
48,403,11,0,64,100,normal,3
49,461,6,-1,0.25,100,normal,2
50,407,2,0,0.25,300,lognormal,3
