page,response_time,set,num,selection,num_selection,reason,confidence,prolific_id,age_group,education,pronoun,previous_experience,lineup_id,type,formula,a,b,x_dist,e_dist,e_sigma,name,k,n,effect_size,answer,detect,conventional_p_value,p_value,weigthed_detect,prop_detect
5,1885917.3999999762,4,1,0,0,NA,NA,613ee464768f4be3b5ff3eaa,25-39,Diploma and Bachelor Degree,He,Yes,497,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,-1,1,even_discrete,normal,1,heter_497,20,300,48.187218720762615,14,FALSE,1.48046297509017e-11,0.09526000000000001,0,0.5
6,64627.799999952316,4,2,0,0,NA,NA,613ee464768f4be3b5ff3eaa,25-39,Diploma and Bachelor Degree,He,Yes,587,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,0,256,uniform,normal,1,heter_587,20,300,509.81871622674197,11,FALSE,6.357507847382139e-12,0,0,0.8571428571428571
7,49299.60000002384,4,3,16_17,2,Cluster(s),Moderately,613ee464768f4be3b5ff3eaa,25-39,Diploma and Bachelor Degree,He,Yes,245,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,-1,1,lognormal,normal,1,heter_245,20,50,2.0589645228864093,14,FALSE,0.0011448147706093548,0.25851999999999997,0,0.125
8,22355.100000023842,4,4,20,1,Cluster(s),Moderately,613ee464768f4be3b5ff3eaa,25-39,Diploma and Bachelor Degree,He,Yes,72,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,1,16,uniform,normal,1,heter_72,20,300,249.2304900682584,20,TRUE,3.41158218346563e-14,0.0034399999999999986,1,1
9,124557.79999995232,4,5,0,0,NA,NA,613ee464768f4be3b5ff3eaa,25-39,Diploma and Bachelor Degree,He,Yes,238,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,-1,0.25,normal,normal,1,heter_238,20,300,4.7363448910410995,12,FALSE,0.46370562637904283,0.21867999999999999,0,0.25
10,26343.100000023842,4,6,5_16,2,Outlier(s),Moderately,613ee464768f4be3b5ff3eaa,25-39,Diploma and Bachelor Degree,He,Yes,132,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,-1,4,even_discrete,normal,1,heter_132,20,50,24.24883036575913,17,FALSE,9.187663198620589e-4,0.32882,0,0.08333333333333333
11,105319.89999997616,4,7,10_16,2,Shape,Moderately,613ee464768f4be3b5ff3eaa,25-39,Diploma and Bachelor Degree,He,Yes,488,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,0,4,normal,normal,1,heter_488,20,100,14.451527518956716,16,TRUE,4.4242966481015764e-5,0.0010000000000000009,0.5,0.6666666666666666
12,37715.300000071526,4,8,13_4_3,3,Cluster(s),Slightly,613ee464768f4be3b5ff3eaa,25-39,Diploma and Bachelor Degree,He,Yes,381,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,-1,4,uniform,normal,1,heter_381,20,100,38.60818861882546,13,TRUE,3.611676441619316e-5,0.15054,0.3333333333333333,0.3333333333333333
13,14937.700000047684,4,9,9_8_13_4,4,Shape,Very,613ee464768f4be3b5ff3eaa,25-39,Diploma and Bachelor Degree,He,Yes,121,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,0,64,uniform,normal,1,heter_121,20,50,63.675324838471276,20,FALSE,2.5712887732720678e-5,1,0,0
14,53788.89999997616,4,10,6,1,Shape,Moderately,613ee464768f4be3b5ff3eaa,25-39,Diploma and Bachelor Degree,He,Yes,374,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,1,64,normal,normal,1,heter_374,20,300,469.19685491708634,6,TRUE,5.13714897427007e-12,0.0034399999999999986,1,1
