type,formula,a,b,c,x_dist,z_discrete,e_dist,e_sigma,x_mu,x_n,x_sigma,z_discrete_dist,z_n,e_df,name,k,n,effect_size,answer,conventional_p_value,ori_difficulty,exp,exp_lineup_id,log_effect_size
cubic,"y ~ 1 + (2-c) * x + c * z + a * [(2-c) * x]^2 + a * (c * z)^2 + b * [(2-c) * x]^3 + b * (c * z)^3 + e, e ~ N(0, sigma^2)",2.1980666792951524,-1.030147927813232,0.49271974759176373,uniform,TRUE,normal,0.25,0,NA,0.6,discrete_uniform,5,NA,high_easy_21,20,100,121.47518425747398,9,4.954157910449075e-70,easy,1,1_21,4.799709997125341
cubic,"y ~ 1 + (2-c) * x + c * z + a * [(2-c) * x]^2 + a * (c * z)^2 + b * [(2-c) * x]^3 + b * (c * z)^3 + e, e ~ N(0, sigma^2)",-0.06930854776874185,-0.6295140436850488,1.9051072145812213,uniform,FALSE,normal,1,0,NA,0.6,discrete_uniform,5,NA,high_hard_143,20,100,2.928648566454459,5,6.241158281058856e-4,hard,1,1_237,1.0745410765071008
heteroskedasticity,"y ~ 1 + x + e, e ~ N(0, 1 + (2-|a|) * (x_i - a)^2 * b)",-1,1.2189275622367859,NA,normal,FALSE,NA,NA,0,10,0.3,NA,NA,NA,heter_hard_11,20,100,12.189275622367859,8,0.03660217738637775,hard,1,1_393,2.5005565178036253
heteroskedasticity,"y ~ 1 + x + e, e ~ N(0, 1 + (2-|a|) * (x_i - a)^2 * b)",0,0.40497518330812454,NA,neglognormal,FALSE,NA,NA,0,15,0.6,NA,NA,NA,heter_hard_85,20,100,4.049751833081245,20,0.5880386861586383,hard,1,1_467,1.3986556034586017
cubic,"y ~ 1 + (2-c) * x + c * z + a * [(2-c) * x]^2 + a * (c * z)^2 + b * [(2-c) * x]^3 + b * (c * z)^3 + e, e ~ N(0, sigma^2)",-1.2388430340215564,1.70134889613837,0.1128485999070108,normal,TRUE,normal,2,0,NA,0.3,discrete_uniform,7,NA,high_hard_64,20,300,1.1743566418680205,16,2.1349869202951632e-35,hard,1,1_158,0.16072045880626706
cubic,"y ~ 1 + (2-c) * x + c * z + a * [(2-c) * x]^2 + a * (c * z)^2 + b * [(2-c) * x]^3 + b * (c * z)^3 + e, e ~ N(0, sigma^2)",2.0046671661548316,-0.32305029686540365,1.730697282589972,uniform,FALSE,normal,0.25,0,NA,0.6,discrete_uniform,5,NA,high_extremely_easy_2,20,50,85.97045428501612,3,9.639392745123735e-33,extremely_easy,1,1_578,4.454003682399635
cubic,"y ~ 1 + (2-c) * x + c * z + a * [(2-c) * x]^2 + a * (c * z)^2 + b * [(2-c) * x]^3 + b * (c * z)^3 + e, e ~ N(0, sigma^2)",0.6177964741364121,-0.5213772975839674,0.7465665736235678,normal,TRUE,normal,1,0,NA,0.3,discrete_uniform,7,NA,high_hard_7,20,50,0.43392261371613167,3,0.001506417180297568,hard,1,1_101,-0.8348890701905799
cubic,"y ~ 1 + (2-c) * x + c * z + a * [(2-c) * x]^2 + a * (c * z)^2 + b * [(2-c) * x]^3 + b * (c * z)^3 + e, e ~ N(0, sigma^2)",0.6558982380665839,0.23198527609929442,1.7476507704705,uniform,TRUE,normal,1,0,NA,0.6,discrete_uniform,5,NA,high_hard_48,20,300,0.7082641911016215,5,4.6175421376329596e-11,hard,1,1_142,-0.3449381036185624
heteroskedasticity,"y ~ 1 + x + e, e ~ N(0, 1 + (2-|a|) * (x_i - a)^2 * b)",-1,0.15729409456253052,NA,uniform,FALSE,NA,NA,0,11,0.6,NA,NA,NA,heter_hard_183,20,300,2.724413635128464,18,0.9285484411616796,hard,1,1_565,1.002253225191348
heteroskedasticity,"y ~ 1 + x + e, e ~ N(0, 1 + (2-|a|) * (x_i - a)^2 * b)",0,1.3509204611182213,NA,discrete_uniform,FALSE,NA,NA,0,11,0.6,NA,NA,NA,heter_hard_153,20,50,9.55245018900352,20,1.404788161662586e-4,hard,1,1_535,2.2567976858792114
