a,b,c,x_dist,x_mu,x_n,x_sigma,z_discrete,z_discrete_dist,z_n,e_dist,e_df,e_sigma,n,model,statistics,pvalue,effect_size,answer
0,20.150885462760925,NA,discrete_uniform,0,11,0.6,FALSE,NA,NA,NA,NA,NA,50,heter,11.760085423422794,0.0027946659075239735,142.4882775763167,TRUE
1,5.8682330921292305,NA,discrete_uniform,0,10,0.6,FALSE,NA,NA,NA,NA,NA,50,heter,20.395494860284767,3.725414179685742e-5,41.49467413027881,TRUE
1,21.151137962937355,NA,uniform,0,14,0.6,FALSE,NA,NA,NA,NA,NA,300,heter,45.78723942118888,1.1413721960920889e-10,366.3484558970639,TRUE
-1,28.71449475735426,NA,discrete_uniform,0,20,0.6,FALSE,NA,NA,NA,NA,NA,300,heter,48.177079400803315,3.455255214082765e-11,497.34963833407744,TRUE
1,15.196763329207897,NA,normal,0,16,0.3,FALSE,NA,NA,NA,NA,NA,300,heter,26.593446196864296,1.6799893591101897e-6,263.21566196787643,TRUE
-1,22.041151642799377,NA,lognormal,0,12,0.6,FALSE,NA,NA,NA,NA,NA,50,heter,5.892029844238699,0.052548699904900464,155.85447791784452,FALSE
1,29.171699553728104,NA,normal,0,14,0.3,FALSE,NA,NA,NA,NA,NA,300,heter,39.266480057568224,2.9743508341015858e-9,505.26865770191426,TRUE
0,6.061840042471886,NA,discrete_uniform,0,10,0.6,FALSE,NA,NA,NA,NA,NA,100,heter,13.6204951620208,0.0011024199279281094,60.61840042471886,TRUE
1,28.914307594299316,NA,normal,0,20,0.3,FALSE,NA,NA,NA,NA,NA,50,heter,6.839434124613195,0.03272169182940689,204.45502973242736,TRUE
1,21.958194345235825,NA,neglognormal,0,10,0.6,FALSE,NA,NA,NA,NA,NA,300,heter,68.73082940892324,1.1892961843725543e-15,380.3270824842007,TRUE
-1,24.41746937483549,NA,discrete_uniform,0,10,0.6,FALSE,NA,NA,NA,NA,NA,50,heter,11.772616330181268,0.0027772107977593764,172.65758174361025,FALSE
1,7.7996333837509155,NA,neglognormal,0,20,0.6,FALSE,NA,NA,NA,NA,NA,50,heter,43.28543180620038,3.9873826046612446e-10,55.151736564192504,TRUE
0,24.350645840168,NA,neglognormal,0,15,0.6,FALSE,NA,NA,NA,NA,NA,100,heter,16.391654631296806,2.758020069919519e-4,243.50645840168,TRUE
0,13.237722739577293,NA,lognormal,0,19,0.6,FALSE,NA,NA,NA,NA,NA,300,heter,24.230217083021326,5.476148451046261e-6,229.28408361457744,TRUE
-1,15.023117505013943,NA,uniform,0,16,0.6,FALSE,NA,NA,NA,NA,NA,100,heter,22.224816221822262,1.492596698885826e-5,150.23117505013943,TRUE
1,24.868056796491146,NA,normal,0,12,0.3,FALSE,NA,NA,NA,NA,NA,50,heter,11.193665206316938,0.0037095948871677677,175.84371595731102,TRUE
0,10.380283117294312,NA,normal,0,20,0.3,FALSE,NA,NA,NA,NA,NA,50,heter,8.604284664654342,0.013539521764419023,73.39968582875042,TRUE
-1,5.8512324541807175,NA,normal,0,16,0.3,FALSE,NA,NA,NA,NA,NA,50,heter,4.053100415149062,0.1317893838504811,41.3744614664999,FALSE
-1,6.459569178521633,NA,lognormal,0,19,0.6,FALSE,NA,NA,NA,NA,NA,300,heter,0.3401705163278354,0.8435928903493521,111.88302012205425,TRUE
-1,1.568080022931099,NA,lognormal,0,18,0.6,FALSE,NA,NA,NA,NA,NA,50,heter,9.505827716645731,0.008626522082311093,11.08800017657737,FALSE
-1,1.310474194586277,NA,neglognormal,0,15,0.6,FALSE,NA,NA,NA,NA,NA,50,heter,6.178585268889745,0.045534152306359134,9.266451895619356,TRUE
-1,0.2568095996975899,NA,discrete_uniform,0,19,0.6,FALSE,NA,NA,NA,NA,NA,100,heter,0.8528284981719754,0.6528458453033064,2.5680959969758987,FALSE
1,3.0131796449422836,NA,normal,0,12,0.3,FALSE,NA,NA,NA,NA,NA,300,heter,30.498150628253924,2.3845736299071207e-7,52.18980237372386,TRUE
0,16.637075260281563,NA,neglognormal,0,20,0.6,FALSE,NA,NA,NA,NA,NA,300,heter,35.697807154540335,1.7714123507555293e-8,288.16259640154874,TRUE
